Date,Republic,SPY
2016-01-04,0.9903387292065724,0.9860205345371739
2016-01-05,0.994132376082339,0.9876884219123842
2016-01-06,0.9801117731947385,0.9752296485691077
2016-01-07,0.9609463149287306,0.9518323501080882
2016-01-08,0.9547021931311883,0.9413845942142854
2016-01-11,0.9516408913456371,0.9423165940899952
2016-01-12,0.951228870988931,0.9499192556785144
2016-01-13,0.9268078735279187,0.9262275667061735
2016-01-14,0.947948993238771,0.9414334225560308
2016-01-15,0.92850202028982,0.9212247923685744
2016-01-19,0.9260298221986101,0.9224506500827865
2016-01-20,0.915330791731848,0.9106292197674886
2016-01-21,0.9242185086925271,0.9157308049130192
2016-01-22,0.9445446874160874,0.934517287452448
2016-01-25,0.9304831775514968,0.9203903603975516
2016-01-26,0.9434941939522161,0.9329475894335469
2016-01-27,0.9345458477373928,0.9227941352722625
2016-01-28,0.9446287597123298,0.9276007972336525
2016-01-29,0.9662973390993697,0.9502135574110326
2016-02-01,0.9628628698903946,0.9498702497791628
2016-02-02,0.9446517715684309,0.9327514770573379
2016-02-03,0.9489853462105459,0.9383432987539896
2016-02-04,0.9536850232396301,0.9398148961953844
2016-02-05,0.9449951000085782,0.9219113188535105
2016-02-08,0.9268220176706359,0.909501285073176
2016-02-09,0.9311872597877651,0.9095503797513306
2016-02-10,0.9338524719832737,0.9087655751312816
2016-02-11,0.9188205568224641,0.8969444999311964
2016-02-12,0.9354278177468115,0.9154365919593037
2016-02-16,0.9520394955855266,0.9308876548635246
2016-02-17,0.965355630037624,0.9460934219345787
2016-02-18,0.9625789215332178,0.9422184935124888
2016-02-19,0.9598514011877423,0.9417767301879002
2016-02-22,0.973370970801803,0.9554131543552661
2016-02-23,0.9645101500156883,0.9433461618703918
2016-02-24,0.9702772883959577,0.9476626760594641
2016-02-25,0.9778785967626186,0.9591408875216954
2016-02-26,0.9736480327904198,0.956933491359603
2016-02-29,0.9701557637940021,0.9494285752333773
2016-03-01,0.9869009768430914,0.9717469448994359
2016-03-02,0.991568956838261,0.9761124649878595
2016-03-03,0.999278471165753,0.9799382987317948
2016-03-04,1.003512037262411,0.9831267006689484
2016-03-07,1.0039887494234987,0.9839113277313909
2016-03-08,0.9919020178117495,0.9731693588838729
2016-03-09,0.9975526648750619,0.9779764647392789
2016-03-10,0.9924086919819188,0.978761358138131
2016-03-11,1.006175592877003,0.9945555511166154
2016-03-14,1.0050324413280143,0.9932800660514296
2016-03-15,1.0030299441832375,0.9916614509119803
2016-03-16,1.0098229339047962,0.9974002903066863
2016-03-17,1.0176269608750845,1.0037279107240356
2016-03-18,1.0206391042143468,1.0076720866126003
2016-03-21,1.0204419461002228,1.0091022243529135
2016-03-22,1.0190191440301264,1.0085596970867237
2016-03-23,1.0127516196520496,1.0019036838764377
2016-03-24,1.0121525412540957,1.0014600561969824
2016-03-28,1.0103938119269014,1.002051678141327
2016-03-29,1.0190643185591088,1.0113208954230088
2016-03-30,1.0237401711450045,1.0157581487843963
2016-03-31,1.0198376628436905,1.013293027756693
2016-04-01,1.023344909717612,1.0201955797033901
2016-04-04,1.0185459304839386,1.0168922979949309
2016-04-05,1.0112242758538763,1.0067352926815196
2016-04-06,1.0204599885543997,1.017730014781671
2016-04-07,1.0126957252727653,1.0055522263504368
2016-04-08,1.0164155468076805,1.0082638861145516
2016-04-11,1.0142534450733551,1.0058973983371733
2016-04-12,1.0248533964640392,1.015265071311574
2016-04-13,1.035616792343285,1.025520354760098
2016-04-14,1.0346786802524783,1.0255697157746622
2016-04-15,1.035943608978158,1.0244358329005372
2016-04-18,1.0404934668502672,1.0316340182618005
2016-04-19,1.0491080536641386,1.0348882052921051
2016-04-20,1.0511506085338957,1.035874271458947
2016-04-21,1.0462109994611863,1.0303029576658282
2016-04-22,1.0484068357736864,1.0303029576658282
2016-04-25,1.0449365762467253,1.0285277367175818
2016-04-26,1.050295046154918,1.0300565964870232
2016-04-27,1.054957124053915,1.0321764567491871
2016-04-28,1.0469339522189054,1.022808517438377
2016-04-29,1.0451726860659785,1.0172862983234128
2016-05-02,1.051218497934353,1.025372449274012
2016-05-03,1.044945733540549,1.0164483152002632
2016-05-04,1.0406173694611625,1.0107786344932288
2016-05-05,1.0396743722734294,1.0105813679925786
2016-05-06,1.0411988953591764,1.0142792714811417
2016-05-09,1.0391725906864784,1.015117165825488
2016-05-10,1.0513990894720973,1.0277392033878
2016-05-11,1.0441503168257797,1.018124991676988
